DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE 
IQ;200670;CCA;JUNTOS I;ITAQUERA;ITAQUERA;;RUA IBACURI;72;JARDIM FERNANDES;03581050;23675582;;;Ativa;24;CIDADE LIDER;2402;35572433;572433;;01/04/2013;2013.0.004.040.4;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23554629;-46501497;;28/02/2017
PE;200671;CCA;PAULISTANO;PENHA;PENHA;;RUA CATRIMANI;280;CIDADE PATRIARCA;03555030;29581297;;;Ativa;91;VILA MATILDE;9105;35573759;573759;;01/04/2013;2013.0.006.216.5;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23536970;-46498829;;28/02/2017
SM;200672;CCA;MIRALDA DOS SANTOS LIMA;SAO MATEUS;SAO MATEUS;;RUA PROFESSOR ANTONIO SAMPAIO DORIA;345;JARDIM NOVE DE JULHO;03947000;29624546;;;Ativa;73;SAO MATEUS;7308;35576037;576037;;01/04/2013;2013.0.004.113.3;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23590669;-46491048;;28/02/2017
SM;200673;CCA;PERSEVERANCA II;SAO MATEUS;SAO MATEUS;;RUA DOUTOR APARICIO LUIZ PUGLIESI;112;JARDIM NOVE DE JULH;03947070;20109786;;20109786;Ativa;73;SAO MATEUS;7308;35576049;576049;;01/04/2013;2013.0.004.140.0;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23585853;-46491337;;28/02/2017
SM;200674;CCA;PERSEVERANCA VI;SAO MATEUS;SAO MATEUS;;RUA DOUTOR APARICIO LUIZ PUGLIESI;100;JARDIM NOVE DE JULH;03947070;20131018;;20131018;Ativa;73;SAO MATEUS;7308;35576050;576050;;21/02/2013;2012.0.231.128.4;21/02/2013;;;;;;;;;;;;;;;;;;;;;;;;-23585687;-46491555;;28/02/2017
SM;200675;CCA;NOVE DE JULHO;SAO MATEUS;SAO MATEUS;;RUA PROFESSOR DOUTOR PAULO DE QUEIROZ;503;JARDIM NOVE DE JULHO;03951090;20109385;;20109385;Ativa;73;SAO MATEUS;7301;35576062;576062;;01/04/2013;2013.0.004.112.5;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23586336;-46489233;;28/02/2017
SM;200676;CCA;SAMMUTTI;SAO MATEUS;SAO MATEUS;;RUA CORONEL BENEDITO FERREIRA DE SOUZA;9;JARDIM CINCO DE JULHO;03953090;20114980;;;Ativa;73;SAO MATEUS;7301;35576074;576074;;01/04/2013;2013.0.004.115.0;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23592080;-46483918;;28/02/2017
IQ;200677;CCA;JUNTOS III PARQUE SAVOY;ITAQUERA;ITAQUERA;;AVENIDA GAMELEIRA BRANCA;437;JARDIM BRASILIA;03585000;43284277;;;Ativa;24;CIDADE LIDER;2405;35572445;572445;;16/04/2012;2011.0.286.360.9;16/04/2012;;;;;;;;;;;;;;;;;;;;;;;;-23562424;-46489551;;28/02/2017
IQ;200678;CCA;VILA PEDREIRA I;ITAQUERA;ITAQUERA;;RUA FAUSTO GUEDES TEIXEIRA;127;PARQUE SAVOI CITY;03584180;27439287;;;Ativa;24;CIDADE LIDER;2403;35572457;572457;;01/04/2013;2013.0.003.777.2;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23561024;-46480648;;28/02/2017
PE;200682;CCA;LAR DONA TINA II - NHOCUNE;PENHA;PENHA;;RUA DOUTOR JOAO PRIORE;478;VILA NHOCUNE;03562020;22171704;;;Ativa;05;ARTUR ALVIM;0501;35573760;573760;;01/03/2013;2012.0.264.448.8;01/03/2013;;;;;;;;;;;;;;;;;;;;;;;;-23544372;-46495454;;28/02/2017
PE;200683;CCA;GOTAS DE ESPERANCA;PENHA;PENHA;;RUA PEDREIRA DE MAGALHAES;21;PARQUE ARTUR ALVIM;03568040;27428195;;;Ativa;05;ARTUR ALVIM;0503;35573772;573772;;01/01/2011;2010.0.159.041.0;01/01/2011;;;;;;;;;;;;;;;;;;;;;;;;-23540735;-46486002;;28/02/2017
PE;200684;CCA;SANTA LUZIA II;PENHA;PENHA;;RUA DA PADROEIRA;83;JARDIM NORDESTE;03691130;20455000;;20455001;Ativa;05;ARTUR ALVIM;0505;35573796;573796;;01/04/2013;2013.0.006.210.6;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23535660;-46483398;;28/02/2017
IQ;200685;CCA;SAO FRANCISCO DE ASSIS - PADRE BATISTA;ITAQUERA;ITAQUERA;;RUA CONDE DE AVILEZ;178;CIDADE LIDER;08285310;27428716;;;Ativa;24;CIDADE LIDER;2404;35572500;572500;;01/04/2013;2013.0.003.964.3;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23554706;-46477085;;28/02/2017
IQ;200686;CCA;UNIAO CIDADE LIDER;ITAQUERA;ITAQUERA;;RUA VALE DO IPOJUCA;4;CIDADE LIDER;08285090;27483173;;;Ativa;24;CIDADE LIDER;2403;35572512;572512;;01/04/2013;2013.0.004.055.2;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23554087;-46465906;;28/02/2017
IQ;200687;CCA;MENINOS E MENINAS DO ABC AURORA;ITAQUERA;ITAQUERA;;AVENIDA DAS ALAMANDAS;789;CIDADE ANTONIO ESTEVAO DE CARVALHO;08225310;20474177;;;Ativa;37;ITAQUERA;3706;35572536;572536;;28/10/2014;2014.0.261.014.5;28/10/2014;;;;;;;;;;;;;;;;;;;;;;;;-23528346;-46465949;;28/02/2017
PE;200688;CCA;SANTA CRUZ DE VILA RE;PENHA;PENHA;;RUA VERA;326;VILA GRANADA;03623000;26844149;;;Ativa;59;PENHA;5903;35573814;573814;;01/09/2013;2013.0.098.486.0;01/09/2013;;;;;;;;;;;;;;;;;;;;;;;;-23518066;-46516911;;28/02/2017
PE;200689;CCA;SANTO ONOFRE;PENHA;PENHA;;RUA GOMA DE OLIBANO;270;ENGENHEIRO GOULART;03725060;26219489;;;Ativa;18;CANGAIBA;1803;35573826;573826;;13/09/2010;2010.0.159.051.8;13/09/2010;;;;;;;;;;;;;;;;;;;;;;;;-23499893;-46518807;;28/02/2017
PE;200690;CCA;LAR DONA TINA I;PENHA;PENHA;;RUA IMPERIAL;514;VILA BUENOS AIRES;03737010;20382629;;;Ativa;18;CANGAIBA;1802;35573838;573838;;01/02/2012;2011.0.217.945.7;01/02/2012;;;;;;;;;;;;;;;;;;;;;;;;-23504784;-46511607;;28/02/2017
PE;200691;CCA;CASA FILADELFIA;PENHA;ERMELINO MATARAZZO;;RUA ANTONIO FORTUNATO;627;BURGO PAULISTA;03681000;20416140;;;Ativa;64;PONTE RASA;6402;35573848;573848;;01/04/2013;2013.0.003.864.7;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23523110;-46488054;;28/02/2017
PE;200692;CCA;ERMELINO MATARAZZO;PENHA;ERMELINO MATARAZZO;;RUA FERNAO MENDES PINTO;1300;PARQUE BOTURUSSU;03803000;25445684;;;Ativa;28;ERMELINO MATARAZZO;2802;35573851;573851;;02/03/2010;2009.0.259.713.9;02/03/2010;;;;;;;;;;;;;;;;;;;;;;;;-23495158;-46488531;;28/02/2017
PE;200693;CCA;SAO NICOLAU;PENHA;ERMELINO MATARAZZO;;RUA RAIMUNDO LULIO;215;JARDIM SAO NICOLAU;03635030;20423017;;;Ativa;64;PONTE RASA;6402;35573863;573863;;01/04/2013;2013.0.006.239.4;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23522701;-46478718;;28/02/2017
MP;200694;CCA;AMIGOS DA ESPERANCA;SAO MIGUEL;SAO MIGUEL;;AVENIDA CESAR AUGUSTO ROMARO;164;VILA NORMA;08062000;20261547;;;Ativa;87;VILA JACUI;8705;35573310;573310;;01/01/2011;2009.0.314.442.1;01/01/2011;;;;;;;;;;;;;;;;;;;;;;;;-23508358;-46476369;;28/02/2017
MP;200695;CCA;ENSINANDO E APRENDENDO / JARDIM SAO CARLOS;SAO MIGUEL;SAO MIGUEL;;AVENIDA CESAR AUGUSTO ROMARO;172;VILA NORMA;08062190;25451875;;;Ativa;87;VILA JACUI;8705;35573322;573322;;01/04/2013;2013.0.004.166.4;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23507803;-46475037;;28/02/2017
PE;200696;CCA;BOTURUSSU;PENHA;ERMELINO MATARAZZO;;RUA DARIO DA COSTA MATOS;590;PARQUE BOTURUSSU;03805090;25464268;;;Ativa;28;ERMELINO MATARAZZO;2803;35573875;573875;;02/09/2012;2012.0.065.351.0;02/09/2012;;;;;;;;;;;;;;;;;;;;;;;;-23499948;-46479835;;28/02/2017
PE;200697;CCA;VERONIA;PENHA;ERMELINO MATARAZZO;;AVENIDA SAO JOSE DOS CORDEIROS;205;PARQUE CISPER;03818020;23097088;;;Ativa;28;ERMELINO MATARAZZO;2802;35573887;573887;;01/02/2014;2013.0.111.252.2;01/02/2014;;;;;;;;;;;;;;;;;;;;;;;;-23493745;-46493340;;28/02/2017
PE;200698;CCA;JARDIM KERALUX;PENHA;ERMELINO MATARAZZO;;RUA ARLINDO BETIO;821;JARDIM KERALUX;03828000;22148544;;;Ativa;28;ERMELINO MATARAZZO;2801;35573899;573899;;14/09/2010;2009.0.368.718.2;14/09/2010;;;;;;;;;;;;;;;;;;;;;;;;-23482878;-46489547;;28/02/2017
MP;200699;CCA;PADRE TICAO;SAO MIGUEL;SAO MIGUEL;;RUA PADRE THOMAS JOSEPH SHEA;25;VILA NOSSA SENHORA APAREC;03812040;25445844;;;Ativa;87;VILA JACUI;8702;35573334;573334;;01/04/2013;2013.0.004.185.0;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23493567;-46469461;;28/02/2017
MP;200700;CCA;APRENDENDO A VIVER;SAO MIGUEL;SAO MIGUEL;;RUA ARRAIAL DAS CATAS ALTAS;222;VILA SANTA INES;03812000;;;;Ativa;87;VILA JACUI;8702;35573346;573346;;01/04/2013;2013.0.004.195.8;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23493652;-46466829;;28/02/2017
MP;200701;CCA;VILA JACUI;SAO MIGUEL;SAO MIGUEL;;RUA CINTURAO VERDE;471;VILA SANTA INES;03812050;29433156;;;Ativa;87;VILA JACUI;8702;35573358;573358;;01/02/2014;2013.0.227.537.9;01/02/2014;;;;;;;;;;;;;;;;;;;;;;;;-23490167;-46465278;;28/02/2017
IQ;200702;CCA;NOSSA SENHORA DO DIVINO PRANTO;ITAQUERA;ITAQUERA;;AVENIDA ANTONIO RICARDO DA SILVA;287;JARDIM NOSSA SENHORA DO CARMO;08270560;25226914;;;Ativa;57;PARQUE DO CARMO;5702;35572548;572548;;01/10/2014;2014.0.108.095.9;01/10/2014;;;;;;;;;;;;;;;;;;;;;;;;-23563995;-46464014;;28/02/2017
SM;200703;CCA;SAO JOAO;SAO MATEUS;SAO MATEUS;;RUA ANTONIO BASTOS;17;JARDIM ROSELI;08370350;20598432;;27311329;Ativa;33;IGUATEMI;3305;35576086;576086;;01/04/2013;2013.0.004.087.0;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23592185;-46440967;;28/02/2017
IQ;200704;CCA;SANTA MARCELINA;ITAQUERA;ITAQUERA;;RUA RIO DO OESTE;110;VILA CARMOSINA;08290560;25243336;;;Ativa;57;PARQUE DO CARMO;5701;35572559;572559;;01/04/2013;2013.0.003.958.9;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23552070;-46460169;;28/02/2017
IQ;200705;CCA;THIAGO ABDALLA FIUZA;ITAQUERA;ITAQUERA;;RUA DAS BOAS NOITES;260;VILA REGINA;08225180;20713380;;;Ativa;37;ITAQUERA;3706;35572561;572561;;01/02/2012;2011.0.246.118.7;01/02/2012;;;;;;;;;;;;;;;;;;;;;;;;-23531084;-46462951;;28/02/2017
IQ;200706;CCA;NOVO LAR BETANIA;ITAQUERA;ITAQUERA;;RUA VICTORIO SANTIM;827;VILA CARMOSINA;08290000;22050209;;;Ativa;37;ITAQUERA;3702;35572573;572573;;28/10/2014;2014.0.225.356.3;28/10/2014;;;;;;;;;;;;;;;;;;;;;;;;-23545175;-46448513;;28/02/2017
IQ;200707;CCA;CASA DO CRISTO REDENTOR;ITAQUERA;ITAQUERA;;RUA AGRIMENSOR SUGAYA;986;COLONIA;08260030;25236222;;;Ativa;47;JOSE BONIFACIO;4704;35572597;572597;;01/04/2013;2013.0.003.960.0;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23559431;-46436005;;28/02/2017
IQ;200708;CCA;SAO JOSE - DOM BOSCO;ITAQUERA;ITAQUERA;;RUA RIO IMBURANA;320;ITAQUERA;08215510;20791501;;22051109;Ativa;47;JOSE BONIFACIO;4701;35572603;572603;;01/04/2013;2013.0.004.041.2;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23546801;-46439868;;28/02/2017
IQ;200709;CCA;BOM PASTOR;ITAQUERA;ITAQUERA;;RUA CESAR DOMENICO;85;CONJUNTO RESIDENCIAL JOSE BONIFACIO;08255480;25213007;;22051100;Ativa;47;JOSE BONIFACIO;4702;35572615;572615;;28/10/2014;2014.0.225.355.5;28/10/2014;;;;;;;;;;;;;;;;;;;;;;;;-23548021;-46434300;;28/02/2017
IQ;200710;CCA;LAR DITOSO;ITAQUERA;ITAQUERA;;RUA GIOVANI QUADRI;60;COHAB II;08255000;25217036;;25230567;Ativa;47;JOSE BONIFACIO;4702;35572627;572627;;01/04/2013;2013.0.003.956.2;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23545475;-46434209;;28/02/2017
IQ;200711;CCA;SANTO ANTONIO II;ITAQUERA;ITAQUERA;;RUA DONA MARIA DE CAMARGO BAUMANN;1043;ITAQUERA;08215260;22051100;;22051109;Ativa;37;ITAQUERA;3703;35572639;572639;;01/04/2013;2013.0.004.047.1;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23538506;-46442319;;28/02/2017
IQ;200712;CCA;NOSSA SENHORA APARECIDA III;ITAQUERA;ITAQUERA;;RUA GUAIA-GUACU;41;JARDIM REDIL;08215170;;;;Ativa;37;ITAQUERA;3703;35572743;572743;;01/04/2013;2013.0.004.049.8;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23533645;-46442859;;28/02/2017
IQ;200713;CCA;SAO JOSE OPERARIO II;ITAQUERA;ITAQUERA;;RUA DANIEL MONGOLO;99;CONJUNTO RESIDENCIAL JOSE BONIFACIO;08250580;20792969;;;Ativa;47;JOSE BONIFACIO;4701;35572755;572755;;01/04/2013;2013.0.003.953.8;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23538444;-46438090;;28/02/2017
G;200714;CCA;SENHOR SANTO CRISTO;GUAIANASES;CIDADE TIRADENTES;;RUA SANTO RIZZO;120;CIDADE TIRADENTES;08470250;25168623;;;Ativa;25;CIDADE TIRADENTES;2505;35571027;571027;;01/04/2013;2013.0.003.819.1;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23590077;-46406317;;28/02/2017
G;200715;CCA;SETOR G E ADJACENCIAS;GUAIANASES;CIDADE TIRADENTES;;RUA APOSTOLO ANDRE;76;VILA SAO PEDRO;08475550;22829895;;;Ativa;25;CIDADE TIRADENTES;2506;35571039;571039;;01/02/2012;2011.0.090.773.0;01/02/2012;;;;;;;;;;;;;;;;;;;;;;;;-23587918;-46400902;;28/02/2017
G;200716;CCA;CEBECH;GUAIANASES;CIDADE TIRADENTES;;RUA SARA KUBITSCHECK;221;CONJUNTO HABITACIONAL CASTRO ALVES;08474000;25588723;;;Ativa;25;CIDADE TIRADENTES;2503;35571106;571106;;01/02/2014;2013.0.288.980.6;01/02/2014;;;;;;;;;;;;;;;;;;;;;;;;-23582211;-46405436;;28/02/2017
G;200717;CCA;CRISPIM DE VILA PAULISTA;GUAIANASES;CIDADE TIRADENTES;;RUA ANTONIO DOS REIS CRISPIM;19;CASTRO ALVES;08490660;22854535;;;Ativa;25;CIDADE TIRADENTES;2503;35571118;571118;;08/12/2011;2011.0.093.450.9;08/12/2011;;;;;;;;;;;;;;;;;;;;;;;;-23575826;-46405585;;28/02/2017
G;200718;CCA;CEBECH INACIO MONTEIRO;GUAIANASES;CIDADE TIRADENTES;;RUA CACHOEIRA MORENA;690;CONJUNTO HABITACIONAL INACIO MONTEIRO;08472610;25554746;;;Ativa;25;CIDADE TIRADENTES;2501;35571124;571124;;01/05/2011;2010.0.264.685.1;01/05/2011;;;;;;;;;;;;;;;;;;;;;;;;-23572572;-46403052;;28/02/2017
G;200719;CCA;NOVO AMANHECER III;GUAIANASES;GUAIANASES;;RUA JERONIMO DIAS RIBEIRO;9;JARDIM SAO PAULO;08461560;25536608;;;Ativa;31;GUAIANASES;3104;35571131;571131;;01/10/2012;2012.0.073.313.0;01/10/2012;;;;;;;;;;;;;;;;;;;;;;;;-23563296;-46403502;;28/02/2017
G;200720;CCA;ADAO MANOEL DA SILVA II - PARQUE CENTRAL;GUAIANASES;GUAIANASES;;RUA MARMORE;32;PARQUE CENTRAL;08420470;25527315;;;Ativa;31;GUAIANASES;3101;35571143;571143;;03/07/2012;2012.0.016.146.3;03/07/2012;;;;;;;;;;;;;;;;;;;;;;;;-23544534;-46423909;;28/02/2017
G;200721;CCA;ADAO MANOEL DA SILVA I;GUAIANASES;GUAIANASES;;RUA IRMAO DEODORO;96;VILA PRINCESA ISABEL;08410410;21535081;;21535081;Ativa;31;GUAIANASES;3101;35571167;571167;;18/11/2010;2010.0.222.945.2;18/11/2010;;;;;;;;;;;;;;;;;;;;;;;;-23544837;-46419869;;28/02/2017
G;200722;CCA;CASA DOS MENINOS II;GUAIANASES;GUAIANASES;;RUA ALDEIA DOS MACHACALIS;698;JARDIM ETELVINA;08430000;20351625;;;Ativa;96;LAJEADO;9607;35571179;571179;;01/04/2013;2013.0.003.877.9;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23527597;-46418457;;28/02/2017
G;200723;CCA;AMIGOS DE GUAIANASES;GUAIANASES;GUAIANASES;;RUA DA FE;300;VILA MARILENA;08411390;25682706;;;Ativa;31;GUAIANASES;3101;35571180;571180;;01/09/2012;2012.0.063.058.7;01/09/2012;;;;;;;;;;;;;;;;;;;;;;;;-23556299;-46414216;;28/02/2017
G;200724;CCA;VILA CRUZEIRO;GUAIANASES;GUAIANASES;;RUA IDEAL;76;VILA POPULAR;08461150;25577939;;;Ativa;31;GUAIANASES;3102;35571192;571192;;01/05/2013;2012.0.102.407.9;01/05/2013;;;;;;;;;;;;;;;;;;;;;;;;-23553175;-46405386;;28/02/2017
MP;200725;CCA;ADEMIR DE ALMEIDA LEMOS;SAO MIGUEL;SAO MIGUEL;;RUA HARVOTIA;11;JARDIM DAS CAMELIAS;08050810;20523154;;;Ativa;87;VILA JACUI;8706;35573361;573361;;01/04/2013;2013.0.004.190.7;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23506244;-46460317;;28/02/2017
MP;200726;CCA;SITIO DA CASA PINTADA;SAO MIGUEL;SAO MIGUEL;;RUA ERVA DO CARPINTEIRO;51;JARDIM CASA PINTADA;08040640;20514323;;;Ativa;87;VILA JACUI;8707;35573371;573371;;01/10/2014;2014.0.120.571.9;01/10/2014;;;;;;;;;;;;;;;;;;;;;;;;-23510965;-46449735;;28/02/2017
IQ;200727;CCA;LEME DO PRADO;ITAQUERA;ITAQUERA;;RUA JUACABA;268;PARADA QUINZE;08246066;20796993;;;Ativa;37;ITAQUERA;3704;35572767;572767;;01/04/2013;2013.0.003.963.5;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23527308;-46437220;;28/02/2017
MP;200728;CCA;EM BUSCA DA ARTE DE SER FELIZ;SAO MIGUEL;SAO MIGUEL;;RUA TRISTAO JOSE FERREIRA;195;CIDADE SAO MIGUEL;08040270;20316490;;;Ativa;74;SAO MIGUEL;7407;35573395;573395;;01/06/2014;2014.0.015.532.7;01/06/2014;;;;;;;;;;;;;;;;;;;;;;;;-23500699;-46447345;;28/02/2017
MP;200729;CCA;ACAS;SAO MIGUEL;SAO MIGUEL;;RUA CRAVAL;150;CIDADE NOVA SAO MIGUEL;08042560;20351149;;;Ativa;74;SAO MIGUEL;7405;35573401;573401;;01/04/2013;2013.0.004.173.7;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23510518;-46432497;;28/02/2017
MP;200730;CCA;NOVA UNIAO;SAO MIGUEL;SAO MIGUEL;;RUA TANCREDO DE ALMEIDA NEVES;87;JARDIM SANTA FE;08072035;22973871;;;Ativa;74;SAO MIGUEL;7402;35573413;573413;;01/07/2013;2013.0.103.034.8;01/07/2013;;;;;;;;;;;;;;;;;;;;;;;;-23489392;-46457153;;28/02/2017
MP;200731;CCA;PROCEDU NOVO PANTANAL;SAO MIGUEL;SAO MIGUEL;;RUA DOUTOR ALMIRO DOS REIS;142;JARDIM LAPENA;08071170;20585198;;;Ativa;74;SAO MIGUEL;7401;35573425;573425;;29/10/2014;2014.0.162.171.2;29/10/2014;;;;;;;;;;;;;;;;;;;;;;;;-23488744;-46447079;;28/02/2017
MP;200732;CCA;VILA PROGRESSO;SAO MIGUEL;SAO MIGUEL;;RUA ARDISIA;1;VILA PROGRESSO;08245230;25143770;;;Ativa;74;SAO MIGUEL;7408;35573437;573437;;01/04/2013;2013.0.004.061.7;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23517414;-46432196;;28/02/2017
MP;200733;CCA;PARQUE SANTA RITA;SAO MIGUEL;ITAIM PAULISTA;;AVENIDA FERNANDO FIGUEIREDO LINS;712;PARQUE SANTA RITA;08150040;25110917;;20356072;Ativa;84;VILA CURUCA;8406;35573449;573449;;01/04/2013;2013.0.004.068.4;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23515708;-46416836;;28/02/2017
MP;200734;CCA;AMANHA-SER I;SAO MIGUEL;SAO MIGUEL;;AVENIDA ROSARIA;150;VILA ROSARIA;08021070;20312551;;;Ativa;74;SAO MIGUEL;7405;35573450;573450;;28/10/2014;2014.0.247.699.6;28/10/2014;;;;;;;;;;;;;;;;;;;;;;;;-23502416;-46431912;;28/02/2017
MP;200735;CCA;ACAO UNIVIDA;SAO MIGUEL;ITAIM PAULISTA;;AVENIDA JOAO BATISTA SANTIAGO;373;PARQUE SANTA RITA;08150030;21531805;;;Ativa;84;VILA CURUCA;8406;35573462;573462;;16/03/2012;2011.0.286.353.6;16/03/2012;;;;;;;;;;;;;;;;;;;;;;;;-23512376;-46415116;;28/02/2017
MP;200736;CCA;NAZARETH - VIDA NOVA;SAO MIGUEL;ITAIM PAULISTA;;RUA GERONIMO BARBOSA DA SILVA;223;JARDIM NAZARETH;08150590;20315025;;;Ativa;84;VILA CURUCA;8407;35573474;573474;;01/05/2014;2013.0.292.847.0;01/05/2014;;;;;;;;;;;;;;;;;;;;;;;;-23516990;-46408311;;28/02/2017
MP;200737;CCA;CAROLINA;SAO MIGUEL;ITAIM PAULISTA;;RUA SANTO ANTONIO DA VARGEM ALEGRE;2;JARDIM CAROLINA;08151330;25696844;;25696844;Ativa;84;VILA CURUCA;8407;35573486;573486;;01/04/2013;2013.0.003.924.4;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23514071;-46407248;;28/02/2017
MP;200738;CCA;GENTE DA GENTE;SAO MIGUEL;ITAIM PAULISTA;;RUA EURIDES FERNANDES DO NASCIMENTO;106;VILA SILVA TELES;08160540;25684575;;;Ativa;84;VILA CURUCA;8405;35573498;573498;;01/05/2011;2010.0.313.358.0;01/05/2011;;;;;;;;;;;;;;;;;;;;;;;;-23498718;-46407732;;28/02/2017
MP;200739;CCA;JARAGUA;SAO MIGUEL;ITAIM PAULISTA;;TRAVESSA DONA LUIZA URSULA;103;ITAIM PAULISTA;08160392;25676875;;;Ativa;36;ITAIM PAULISTA;3603;35573504;573504;;01/04/2013;2013.0.003.935.0;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23503907;-46404724;;28/02/2017
MP;200740;CCA;PARQUE PAULISTANO;SAO MIGUEL;SAO MIGUEL;;RUA SANTA ROSA DE LIMA;701;PARQUE PAULISTANO;08080000;25855612;;;Ativa;44;JARDIM HELENA;4403;35573516;573516;;01/04/2013;2013.0.004.205.9;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23488053;-46428906;;28/02/2017
MP;200741;CCA;JARDIM HELENA - DEOSDETE MACHADO;SAO MIGUEL;SAO MIGUEL;;RUA SALSA BRAVA;145;JARDIM SAO MARTINHO;08081020;20310009;;;Ativa;44;JARDIM HELENA;4402;35573528;573528;;01/01/2013;2012.0.102.401.0;01/01/2013;;;;;;;;;;;;;;;;;;;;;;;;-23481417;-46416316;;28/02/2017
MP;200742;CCA;AMIGOS DA VITORIA;SAO MIGUEL;SAO MIGUEL;;RUA QUEBRA ANZOIS;44;VILA AYMORE;08190040;25844513;;;Ativa;44;JARDIM HELENA;4404;35573536;573536;;01/08/2013;2012.0.102.409.5;01/08/2013;;;;;;;;;;;;;;;;;;;;;;;;-23492463;-46402845;;28/02/2017
G;200743;CCA;JARDIM MARAVILHA;GUAIANASES;CIDADE TIRADENTES;;RUA JOSE FRANCISCO BRANDAO;S/N;VILA AYMORE;03387030;41160091;;;Ativa;25;CIDADE TIRADENTES;2506;35571209;571209;;01/12/2011;2010.0.049.078.1;01/12/2011;;;;;;;;;;;;;;;;;;;;;;;;-23588788;-46395481;;28/02/2017
G;200744;CCA;BARRO BRANCO I;GUAIANASES;CIDADE TIRADENTES;;RUA ALEXANDRE DAVIDENKO;776;CONJUNTO HABITACIONAL BARRO BRANCO II;08473592;21539490;;;Ativa;25;CIDADE TIRADENTES;2502;35571210;571210;;01/06/2010;2010.0.049.064.1;01/06/2010;;;;;;;;;;;;;;;;;;;;;;;;-23586582;-46390499;;28/02/2017
G;200745;CCA;NOVO AMANHECER;GUAIANASES;CIDADE TIRADENTES;;AVENIDA JOSE HIGINO NEVES;1624;JARDIM SAO PAULO;08461650;25555743;;;Ativa;25;CIDADE TIRADENTES;2501;35570229;570229;;01/04/2013;2013.0.003.857.4;01/04/2013;;;;;;;;;;;;;;;;;;;;;;;;-23568736;-46398721;;28/02/2017
G;200747;CCA;VILA YOLANDA;GUAIANASES;CIDADE TIRADENTES;;RUA JOSE BARRETO FILHO;23;CONJUNTO JUSCELINO;08740400;25563291;;;Ativa;25;CIDADE TIRADENTES;2502;35571234;571234;;22/09/2010;2010.0.163.817.0;22/09/2010;;;;;;;;;;;;;;;;;;;;;;;;-23584482;-46382856;;28/02/2017
G;200748;CCA;VILA SAO GERALDO - 3 MILENIO;GUAIANASES;GUAIANASES;;RUA ANTONIO SOARES PAIS;414;VILA SAO GERALDO;08460500;25572348;;;Ativa;31;GUAIANASES;3103;35571246;571246;;01/12/2011;2011.0.114.293.2;01/12/2011;;;;;;;;;;;;;;;;;;;;;;;;-23554742;-46395651;;28/02/2017
